,AGE,DOB,KNOWERLEV,GENDER,ID,PASS_SORT,PASS_DOUBLE,PASS_HITCH
0,4.819,7/13/14,5.0,FEMALE,4,1.0,1.0,1.0
35,3.053,4/18/16,1.0,MALE,7,0.0,0.0,0.0
69,5.27,1/29/14,1.0,MALE,8,0.0,0.0,1.0
108,3.5460000000000003,10/21/15,4.0,FEMALE,10,0.0,0.0,0.0
144,5.412999999999999,12/8/13,9.0,FEMALE,13,1.0,1.0,0.0
190,3.951,5/26/15,3.0,FEMALE,17,1.0,1.0,0.0
224,4.5889999999999995,10/5/14,4.0,FEMALE,18,1.0,0.0,0.0
255,3.923,6/5/15,3.0,FEMALE,19,1.0,0.0,0.0
288,3.915,6/8/15,5.0,MALE,21,0.0,0.0,0.0
297,5.12,3/25/14,1.0,MALE,22,1.0,1.0,1.0
340,5.314,1/13/14,1.0,MALE,25,1.0,0.0,0.0
374,5.138999999999999,3/18/14,5.0,MALE,26,1.0,1.0,0.0
449,5.092,4/4/14,8.0,FEMALE,27,1.0,1.0,1.0
493,4.041,4/23/15,3.0,FEMALE,28,0.0,0.0,0.0
502,3.25,2/6/16,2.0,FEMALE,29,0.0,0.0,0.0
553,4.917,6/7/14,4.0,FEMALE,30,1.0,0.0,1.0
585,4.126,3/23/15,2.0,MALE,32,1.0,1.0,0.0
634,3.661,9/9/15,2.0,FEMALE,34,0.0,0.0,0.0
665,,,10.0,FEMALE,36,1.0,1.0,1.0
722,,,10.0,MALE,38,1.0,1.0,1.0
780,,,2.0,FEMALE,42,1.0,0.0,1.0
815,,,6.0,FEMALE,43,1.0,1.0,1.0
862,,,4.0,MALE,45,1.0,0.0,1.0
901,,,4.0,MALE,46,0.0,0.0,0.0
